Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
Total Time:1291.0780060291295        0.6200              241.7419         0.5787                 5.4039         
Total Time:1538.2407588958746        0.6395              215.9505         0.5913                 6.1500         
Total Time:1760.3493702411652Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5054              155.7063         0.5100                 5.1999         
Total Time:160.938318729400632        0.5545              505.1711         0.5513                 3.1626         
Total Time:669.32021856307983        0.5824              82.4671          0.5700                 3.0660         
Total Time:754.86204648017884        0.6048              89.0136          0.5813                 2.7671         
Total Time:846.64275979995735        0.6175              76.5411          0.5775                 2.2333         
Total Time:925.43063807487496        0.6361              149.3761         0.5825                 3.7003         
Total Time:1078.50702095031747        0.6466              92.9599          0.5875                 3.2635         
Total Time:1174.7656493186958        0.6528              81.2260          0.5837                 2.4460         
Total Time:1258.4456002712259        0.6693              104.3917         0.6050                 7.2082         
Total Time:1370.047978162765510       0.6780              89.9032          0.6038                 3.5330         
Total Time:1463.532776832580611       0.6924              154.2533         0.5950                 3.4633         
Total Time:1621.249418497085612       0.6967              90.2167          0.6000                 3.6433         
Total Time:1715.117358684539813       0.7106              85.5621          0.6162                 2.5788         
Total Time:1803.258201837539714       0.7150              79.8232          0.5975                 2.8656         
Total Time:1885.974941492080715       0.7290              93.6998          0.5887                 4.6456         
Total Time:1984.320384740829516       0.7385              85.1224          0.6012                 2.6738         
Total Time:2072.116535663604717       0.7451              75.4964          0.5962                 3.0214         
Total Time:2150.667143821716318       0.7575              79.6794          0.6338                 2.9915         
Total Time:2233.346005916595519       0.7626              82.6352          0.6175                 2.6737         
Total Time:2318.662974119186420       0.7749              81.0855          0.5962                 3.3064         
Total Time:2403.0549488067627Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.4392              68.9527          0.4863                 2.3837         
Total Time:71.36001873016357Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.4392              99.5069          0.4863                 3.8846         
Total Time:103.42411065101624Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5054              169.5304         0.5100                 5.2047         
Total Time:174.800123214721682        0.5545              193.1450         0.5513                 4.9416         
Total Time:372.911622762680053        0.5824              211.4962         0.5700                 5.6396         
Total Time:590.05491900444034        0.6048              213.4530         0.5813                 5.3295         
Total Time:808.85846710205085        0.6175              183.3375         0.5775                 6.5747         
Total Time:998.77482628822336        0.6361              203.4712         0.5825                 6.2885         
Total Time:1208.56226682662967        0.6466              186.6887         0.5875                 5.9882         
Total Time:1401.24904084205638        0.6528              208.4797         0.5837                 4.2271         
Total Time:1613.96052813529979        0.6693              190.6622         0.6050                 5.0860         
Total Time:1809.712998151779210       0.6780              233.5238         0.6038                 6.3778         
Total Time:2049.614631891250611       0.6924              227.1137         0.5950                 5.9580         
Total Time:2282.72741222381612       0.6967              231.0170         0.6000                 6.1558         
Total Time:2519.908125162124613       0.7106              223.3264         0.6162                 5.6093         
Total Time:2748.85252094268814       0.7150              229.8541         0.5975                 7.3489         
Total Time:2986.055582761764515       0.7290              215.1370         0.5887                 6.4994         
Total Time:3207.74181699752816       0.7385              220.5189         0.6012                 5.7164         
Total Time:3433.98083925247217       0.7451              208.6137         0.5962                 5.8167         
Total Time:3648.41383028030418       0.7575              222.0522         0.6338                 6.7762         
Total Time:3877.247475624084519       0.7626              246.2441         0.6175                 5.8887         
Total Time:4129.40825629234320       0.7749              195.4076         0.5962                 5.6708         
Total Time:4330.49075603485121       0.7801              210.9673         0.5938                 5.3556         
Total Time:4546.81538033485422       0.7901              211.4261         0.5863                 5.8354         
Total Time:4764.0859458446523       0.7947              194.1982         0.6100                 2.2851         
Total Time:4960.57024741172824       0.8046              81.7243          0.6088                 2.2469         
Total Time:5044.541411876678525       0.7941              78.9227          0.5675                 1.6361         
Total Time:5125.10831880569526       0.8074              83.7779          0.6125                 1.9593         
Total Time:5210.853669404983527       0.8076              80.0328          0.5813                 1.7172         
Total Time:5292.60372328758228       0.8210              82.1820          0.6088                 1.8633         
Total Time:5376.64907455444329       0.8307              76.4555          0.5938                 2.0527         
Total Time:5455.16314268112230       0.8361              73.2277          0.6288                 2.0147         
Total Time:5530.40554881095931       0.8390              85.9133          0.6138                 1.3746         
Total Time:5617.694510459932       0.8330              107.8488         0.6050                 3.6973         
Total Time:5729.2406907081633       0.8411              183.2614         0.6225                 5.9160         
Total Time:5918.42517876625134       0.8386              113.3056         0.5737                 2.3337         
Total Time:6034.07349443435735       0.8532              63.1287          0.6125                 3.7087         
Total Time:6100.910964012146Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5104              209.9987         0.5100                 2.2319         
Total Time:212.26453208923342        0.5590              70.2643          0.5687                 2.2773         
Total Time:284.81316494941713        0.5925              244.9263         0.5825                 6.8916         
Total Time:536.63853669166564        0.6075              172.5423         0.5737                 4.2185         
Total Time:713.40954971313485        0.6200              98.3837          0.5787                 2.0317         
Total Time:813.83089447021486        0.6395              93.2046          0.5913                 3.4311         
Total Time:910.46963143348697        0.6515              129.6341         0.5813                 2.6258         
Total Time:1042.74455618858348        0.6617              83.9402          0.6050                 3.4749         
Total Time:1130.1600410938263Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.4834              63.3091          0.5175                 4.6481         
Total Time:67.990714550018312        0.5523              112.1136         0.5537                 8.0862         
Total Time:188.21006822586063        0.5726              76.1891          0.5500                 1.2737         
Total Time:265.703571557998664        0.5979              59.1541          0.5850                 2.6599         
Total Time:327.51961350440985        0.6112              80.5952          0.5925                 4.2210         
Total Time:412.33586764335636        0.6289              95.9372          0.5800                 4.0434         
Total Time:512.32799959182747        0.6466              87.7538          0.5950                 3.2357         
Total Time:603.32353138923658        0.6520              110.8505         0.5863                 3.2844         
Total Time:717.45837330818189        0.6599              51.5138          0.6100                 2.0353         
Total Time:771.015530109405510       0.6714              62.5572          0.5962                 3.4174         
Total Time:836.9911344051361Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5745              129.0468         0.5837                 3.0385         
Total Time:132.11632609367372        0.6224              118.7560         0.5850                 5.5199         
Total Time:256.4190433025363        0.6374              128.2812         0.6200                 3.1840         
Total Time:387.90422248840334        0.6491              281.0075         0.5962                 16.8061        
Total Time:685.7187800407415        0.6559              303.9738         0.6262                 4.2784         
Total Time:993.98134207725526        0.6765              168.1314         0.6175                 5.4189         
Total Time:1167.53167152404797        0.6829              129.5767         0.6025                 2.1866         
Total Time:1299.29489231109628        0.6861              91.8685          0.6175                 3.0340         
Total Time:1394.1984035968789        0.7084              202.6976         0.6250                 5.4323         
Total Time:1602.328391313552910       0.7127              121.6377         0.6050                 6.4346         
Total Time:1730.401359319687Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5745              51.4655          0.5837                 0.9098         
Total Time:52.381769657135012        0.6224              47.3378          0.5850                 1.0372         
Total Time:100.756697177886963        0.6374              66.4381          0.6200                 1.9905         
Total Time:169.186293601989754        0.6491              103.1925         0.5962                 3.2719         
Total Time:275.65370273590095        0.6559              99.3415          0.6262                 3.3071         
Total Time:378.30225276947026        0.6765              116.5797         0.6175                 3.4487         
Total Time:498.330734491348277        0.6829              111.1247         0.6025                 3.3813         
Total Time:612.83757758140568        0.6861              110.4094         0.6175                 3.0917         
Total Time:726.33966016769419        0.7084              103.1897         0.6250                 3.4093         
Total Time:832.939665794372610       0.7127              98.2115          0.6050                 3.4594         
Total Time:934.610568046569811       0.7265              97.4406          0.6112                 2.4583         
Total Time:1034.510431051254312       0.7379              97.4890          0.6150                 3.3421         
Total Time:1135.342615604400613       0.7446              101.1097         0.6038                 3.5243         
Total Time:1239.976656198501614       0.7459              98.5762          0.5850                 3.4529         
Total Time:1342.00895619392415       0.7550              103.6418         0.6162                 3.3099         
Total Time:1448.960649013519316       0.7551              101.0704         0.6150                 2.9841         
Total Time:1553.016121864318817       0.7638              104.5441         0.6138                 2.9675         
Total Time:1660.529021501541118       0.7679              107.3540         0.6075                 2.8417         
Total Time:1770.72574853897119       0.7772              102.6486         0.5988                 3.2393         
Total Time:1876.613663434982320       0.7785              111.3253         0.5938                 3.6363         
Total Time:1991.5771145820618Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5383              45.2185          0.5813                 0.8489         
Total Time:46.072324037551882        0.6130              44.8410          0.5913                 0.8785         
Total Time:91.791799068450933        0.6435              48.6043          0.5975                 2.4553         
Total Time:142.852389097213754        0.6660              90.4444          0.6000                 3.4549         
Total Time:236.752677917480475        0.6826              88.8574          0.5900                 2.6477         
Total Time:328.25779628753666        0.7005              88.4995          0.6125                 2.8293         
Total Time:419.58757829666147        0.7036              88.6934          0.6112                 3.2086         
Total Time:511.489578723907478        0.7134              86.1376          0.6162                 2.7191         
Total Time:600.34733200073249        0.7276              88.8634          0.6238                 3.9670         
Total Time:693.178807973861710       0.7362              89.6391          0.6300                 3.1312         
Total Time:785.950062036514311       0.7465              87.6228          0.6088                 3.2130         
Total Time:876.785899400711112       0.7619              89.2528          0.6288                 4.0168         
Total Time:970.055557727813713       0.7659              89.0982          0.6200                 3.1018         
Total Time:1062.256653785705614       0.7729              88.3410          0.6112                 3.1324         
Total Time:1153.730053186416615       0.7870              88.1136          0.6138                 3.6858         
Total Time:1245.529453516006516       0.7935              88.2861          0.6188                 2.9871         
Total Time:1336.804173946380617       0.8037              88.6467          0.6238                 3.0112         
Total Time:1428.463215351104718       0.8127              90.2272          0.6175                 2.8532         
Total Time:1521.54461765289319       0.8165              102.9247         0.6162                 10.3058        
Total Time:1634.776115894317620       0.8274              110.2931         0.6188                 3.0153         
Total Time:1748.085583209991521       0.8324              86.2298          0.6062                 3.5668         
Total Time:1837.88231968879722       0.8433              86.4432          0.6125                 3.5207         
Total Time:1927.847404479980523       0.8458              85.5793          0.6125                 2.4915         
Total Time:2015.919246912002624       0.8521              84.8063          0.6212                 3.3735         
Total Time:2104.099115133285525       0.8562              86.1408          0.5950                 2.8739         
Total Time:2193.11373782157926       0.8600              90.2796          0.6112                 2.7949         
Total Time:2286.188202619552627       0.8729              89.7238          0.5962                 3.2653         
Total Time:2379.177255392074628       0.8759              92.2420          0.6075                 2.9077         
Total Time:2474.327936172485429       0.8794              92.0543          0.6188                 3.4486         
Total Time:2569.830824375152630       0.8868              91.8600          0.6000                 2.8290         
Total Time:2664.520714044571Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5226              77.1875          0.5600                 1.7403         
Total Time:78.93723297119142        0.5992              68.9551          0.5637                 1.2733         
Total Time:149.16662216186523Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5058              78.7180          0.5487                 1.3616         
Total Time:80.08408021926882        0.5690              99.5546          0.5325                 1.5767         
Total Time:181.21644306182863        0.5836              98.2277          0.5513                 1.6495         
Total Time:281.09485769271854        0.5841              65.4735          0.5650                 1.1334         
Total Time:347.703019618988045        0.5969              41.4350          0.5725                 1.0908         
Total Time:390.22981643676766        0.6016              55.8192          0.5737                 1.7995         
Total Time:447.84843635559087        0.5979              137.8646         0.5525                 5.2592         
Total Time:590.97224307060248        0.6036              108.7384         0.5687                 3.3668         
Total Time:703.07834219932569        0.6039              75.0696          0.5725                 3.9305         
Total Time:782.079567909240710       0.6079              73.7493          0.5725                 3.1176         
Total Time:858.947856664657611       0.6116              73.0832          0.5713                 2.5055         
Total Time:934.536582231521612       0.6162              73.6534          0.5625                 2.7169         
Total Time:1010.906790494918813       0.6161              72.1959          0.5763                 3.2991         
Total Time:1086.401882886886614       0.6156              74.6604          0.5837                 3.0867         
Total Time:1164.150023460388215       0.6128              74.7232          0.5863                 3.2775         
Total Time:1242.151248455047616       0.6178              70.8817          0.5850                 2.9082         
Total Time:1315.9411025047302Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5723              121.0929         0.5875                 7.1960         
Total Time:128.321167945861822        0.6285              144.8028         0.5950                 2.5803         
Total Time:275.732133865356453        0.6500              153.3128         0.6175                 2.7265         
Total Time:431.77136015892034        0.6634              78.5359          0.5950                 2.6668         
Total Time:512.980247259145        0.6629              81.5618          0.6088                 2.8199         
Total Time:597.36188077926646        0.6859              82.5306          0.6275                 4.0461         
Total Time:683.93863248825077        0.6907              142.7679         0.6212                 7.9322         
