Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
6        0.5772              33.3064             844.4213         0.5650                 17.2234             10.8416        
7        0.5777              32.8975             517.8925         0.5500                 16.8870             13.4899        
8        0.5821              32.7786             539.8367         0.4500                 19.9651             13.6101        
9        0.5830              32.5089             545.2135         0.5475                 16.4655             15.3491        
10       0.5871              32.2629             666.4052         0.5613                 16.7618             20.1475        
Epoch    Training_accuracy    Training_loss    Training_time    Validation_accuracy    Validation_loss    Validation_time
1        0.4908              40.4703             649.5197         0.4938                 18.3491             9.9607         
2        0.5439              35.9455             962.4718         0.5075                 18.5262             3.8911         
3        0.5559              34.9311             445.2369         0.5188                 17.8314             14.6688        
4        0.5628              34.2750             675.4501         0.5613                 16.3624             8.9778         
5        0.5719              33.6792             706.3065         0.5175                 17.8092             13.6953        
6        0.5772              33.3064             846.4228         0.5650                 17.2234             15.2360        
7        0.5777              32.8975             514.6842         0.5500                 16.8870             12.2049        
8        0.5821              32.7786             540.9356         0.4500                 19.9651             12.1477        
9        0.5830              32.5089             551.4144         0.5475                 16.4655             12.9719        
10       0.5871              32.2629             663.3134         0.5613                 16.7618             13.4284        
11       0.5897              32.0235             404.0354         0.5513                 16.6134             8.3887         
12       0.5968              31.7556             614.0875         0.5625                 16.3508             18.1340        
13       0.5975              31.6150             586.4740         0.5675                 16.5371             8.1699         
14       0.6019              31.5969             335.6659         0.5300                 16.9121             8.2243         
15       0.6002              31.3635             340.2414         0.5450                 16.3430             8.3620         
16       0.6035              31.2020             344.5958         0.5188                 17.7735             8.7558         
17       0.6043              31.2004             1805.3408        0.5162                 17.4137             4.5844         
18       0.6042              31.0598             2019.8286        0.5675                 15.7972             4.1859         
19       0.6081              30.9275             1766.5430        0.5000                 18.6277             17.0003        
20       0.6112              30.9400             897.5286         0.5262                 17.6431             7.3678         
